 2024/8/30 7:50:0, 26.60, 81.0
 2024/8/30 8:0:0, 26.30, 80.0
 2024/8/30 8:10:0, 26.0, 80.0
 2024/8/30 8:20:0, 25.90, 80.0
 2024/8/30 8:30:0, 25.80, 80.0
 2024/8/30 8:40:0, 25.80, 80.0
 2024/8/30 8:50:0, 25.80, 80.0
 2024/8/30 9:0:0, 25.80, 80.0
 2024/8/30 9:10:0, 25.70, 80.0
 2024/8/30 9:20:0, 25.70, 81.0
 2024/8/30 9:30:0, 25.70, 81.0
 2024/8/30 9:40:0, 25.70, 81.0
 2024/8/30 9:50:0, 25.70, 81.0
 2024/8/30 10:0:0, 25.70, 81.0
 2024/8/30 10:10:0, 25.70, 78.0
 2024/8/30 10:20:0, 25.60, 77.0
 2024/8/30 10:30:0, 25.70, 79.0
 2024/8/30 10:40:0, 25.80, 79.0
 2024/8/30 10:50:0, 25.80, 78.0
 2024/8/30 11:0:0, 25.90, 78.0
 2024/8/30 11:10:0, 25.90, 77.0
 2024/8/30 11:20:0, 26.0, 76.0
 2024/8/30 11:30:0, 26.0, 77.0
 2024/8/30 11:40:0, 26.0, 78.0
 2024/8/30 11:50:0, 26.0, 78.0
 2024/8/30 12:0:0, 26.30, 77.0
 2024/8/30 12:10:0, 26.60, 78.0
 2024/8/30 12:20:0, 26.80, 78.0
 2024/8/30 12:30:0, 26.90, 80.0
 2024/8/30 12:40:0, 27.10, 80.0
 2024/8/30 12:50:0, 27.10, 80.0
 2024/8/30 13:0:0, 27.10, 80.0
 2024/8/30 13:10:0, 27.20, 79.0
 2024/8/30 13:20:0, 27.40, 78.0
 2024/8/30 13:30:0, 27.30, 79.0
 2024/8/30 13:40:0, 27.40, 80.0
 2024/8/30 13:50:0, 27.50, 80.0
 2024/8/30 14:0:0, 27.50, 81.0
 2024/8/30 14:10:0, 27.60, 81.0
 2024/8/30 14:20:0, 27.60, 81.0
 2024/8/30 14:30:0, 27.40, 81.0
 2024/8/30 14:40:0, 27.30, 81.0
 2024/8/30 14:50:0, 27.20, 78.0
 2024/8/30 15:0:0, 27.10, 78.0
 2024/8/30 15:10:0, 27.0, 78.0
 2024/8/30 15:20:0, 27.0, 78.0
 2024/8/30 15:30:0, 26.90, 79.0
 2024/8/30 15:40:0, 26.90, 79.0
 2024/8/30 15:50:0, 26.90, 78.0
 2024/8/30 16:0:0, 26.90, 78.0
 2024/8/30 16:10:0, 26.90, 78.0
 2024/8/30 16:20:0, 26.80, 78.0
 2024/8/30 16:30:0, 26.90, 78.0
 2024/8/30 16:40:0, 26.90, 78.0
 2024/8/30 16:50:0, 26.90, 78.0
 2024/8/30 17:0:0, 26.90, 78.0
 2024/8/30 17:10:0, 26.90, 79.0
 2024/8/30 17:20:0, 26.90, 79.0
 2024/8/30 17:30:0, 27.0, 79.0
 2024/8/30 17:40:0, 27.0, 79.0
 2024/8/30 17:50:0, 27.0, 78.0
 2024/8/30 18:0:0, 27.0, 77.0
 2024/8/30 18:10:0, 27.10, 77.0
 2024/8/30 18:20:0, 27.10, 76.0
 2024/8/30 18:30:0, 27.20, 76.0
 2024/8/30 18:40:0, 27.20, 75.0
 2024/8/30 18:50:0, 27.90, 76.0
 2024/8/30 19:0:0, 28.40, 75.0
 2024/8/30 19:10:0, 27.50, 75.0
 2024/8/30 19:20:0, 27.20, 76.0
 2024/8/30 19:30:0, 27.0, 76.0
 2024/8/30 19:40:0, 26.90, 76.0
 2024/8/30 19:50:0, 26.90, 77.0
 2024/8/30 20:0:0, 26.90, 77.0
 2024/8/30 20:10:0, 26.90, 78.0
 2024/8/30 20:20:0, 26.90, 78.0
 2024/8/30 20:30:0, 26.90, 78.0
 2024/8/30 20:40:0, 26.90, 78.0
 2024/8/30 20:50:0, 28.90, 77.0
 2024/8/30 21:0:0, 27.80, 75.0
 2024/8/30 21:10:0, 27.30, 76.0
 2024/8/30 21:20:0, 27.0, 77.0
 2024/8/30 21:30:0, 27.0, 77.0
 2024/8/30 21:40:0, 26.90, 77.0
 2024/8/30 21:50:0, 26.90, 76.0
 2024/8/30 22:0:0, 26.90, 76.0
 2024/8/30 22:10:0, 26.90, 77.0
 2024/8/30 22:20:0, 27.0, 78.0
 2024/8/30 22:30:0, 27.10, 78.0
 2024/8/30 22:40:0, 27.10, 78.0
 2024/8/30 22:50:0, 27.10, 78.0
 2024/8/30 23:0:0, 27.20, 78.0
 2024/8/30 23:10:0, 27.20, 78.0
 2024/8/30 23:20:0, 27.30, 79.0
 2024/8/30 23:30:0, 27.40, 81.0
 2024/8/30 23:40:0, 27.50, 82.0
 2024/8/30 23:50:0, 27.50, 82.0
 2024/8/31 0:0:0, 27.50, 83.0
 2024/8/31 0:10:0, 27.70, 82.0
 2024/8/31 0:20:0, 27.60, 82.0
 2024/8/31 0:30:0, 27.50, 83.0
 2024/8/31 0:40:0, 27.50, 83.0
 2024/8/31 0:50:0, 27.50, 83.0
 2024/8/31 1:0:0, 27.50, 83.0
 2024/8/31 1:10:0, 27.50, 83.0
 2024/8/31 1:20:0, 27.50, 83.0
 2024/8/31 1:30:0, 27.50, 83.0
 2024/8/31 1:40:0, 27.50, 82.0
 2024/8/31 1:50:0, 27.50, 83.0
 2024/8/31 2:0:0, 27.50, 83.0
 2024/8/31 2:10:0, 27.50, 82.0
 2024/8/31 2:20:0, 27.50, 82.0
 2024/8/31 2:30:0, 27.50, 82.0
 2024/8/31 2:40:0, 27.50, 81.0
 2024/8/31 2:50:0, 27.50, 81.0
 2024/8/31 3:0:0, 27.50, 81.0
 2024/8/31 3:10:0, 27.50, 81.0
 2024/8/31 3:20:0, 27.50, 81.0
 2024/8/31 3:30:0, 27.50, 80.0
 2024/8/31 3:40:0, 27.50, 80.0
 2024/8/31 3:50:0, 27.40, 80.0
 2024/8/31 4:0:0, 27.40, 80.0
 2024/8/31 4:10:0, 27.40, 80.0
 2024/8/31 4:20:0, 27.40, 80.0
 2024/8/31 4:30:0, 27.40, 79.0
 2024/8/31 4:40:0, 27.40, 79.0
 2024/8/31 4:50:0, 27.40, 79.0
 2024/8/31 5:0:0, 27.40, 79.0
 2024/8/31 5:10:0, 27.40, 79.0
 2024/8/31 5:20:0, 27.40, 78.0
 2024/8/31 5:30:0, 27.40, 78.0
 2024/8/31 5:40:0, 27.40, 78.0
 2024/8/31 5:50:0, 27.40, 78.0
 2024/8/31 6:0:0, 27.40, 78.0
 2024/8/31 6:10:0, 27.40, 78.0
 2024/8/31 6:20:0, 27.40, 78.0
 2024/8/31 6:30:0, 27.40, 78.0
 2024/8/31 6:40:0, 27.40, 78.0
 2024/8/31 6:50:0, 27.40, 77.0
 2024/8/31 7:0:0, 27.30, 77.0
 2024/8/31 7:10:0, 27.30, 76.0
 2024/8/31 7:20:0, 27.20, 75.0
 2024/8/31 7:30:0, 27.20, 75.0
 2024/8/31 7:40:0, 27.10, 74.0
 2024/8/31 7:50:0, 27.0, 74.0
 2024/8/31 8:0:0, 27.0, 74.0
 2024/8/31 8:10:0, 27.0, 74.0
 2024/8/31 8:20:0, 27.0, 74.0
 2024/8/31 8:30:0, 27.0, 73.0
 2024/8/31 8:40:0, 27.0, 74.0
 2024/8/31 8:50:0, 26.90, 74.0
 2024/8/31 9:0:0, 26.90, 74.0
 2024/8/31 9:10:0, 27.0, 75.0
 2024/8/31 9:20:0, 27.0, 75.0
 2024/8/31 9:30:0, 27.0, 75.0
 2024/8/31 9:40:0, 27.0, 75.0
 2024/8/31 9:50:0, 27.0, 75.0
 2024/8/31 10:0:0, 26.90, 75.0
 2024/8/31 10:10:0, 27.0, 75.0
 2024/8/31 10:20:0, 27.0, 75.0
 2024/8/31 10:30:0, 26.90, 75.0
 2024/8/31 10:40:0, 26.90, 75.0
 2024/8/31 10:50:0, 26.90, 75.0
 2024/8/31 11:0:0, 27.0, 75.0
 2024/8/31 11:10:0, 26.90, 75.0
 2024/8/31 11:20:0, 27.0, 74.0
 2024/8/31 11:30:0, 27.10, 75.0
 2024/8/31 11:40:0, 27.10, 75.0
